Title,Detail,Date,Price(in dollar),Offer price(in dollar),Review and rating,Number of bed
Apartment in New York,THE SMALL ENGLISH MANOR NESTLED AMONGST THE TREES,May 1 - 6,276.00,,4.89 (420),2 beds
Guesthouse in Los Angeles,Private Loft In the Hollywood Hills (by Universal),May 1 - 6,132.00,,4.87 (981),1 queen bed
Apartment in New York,"Location, location, location!",May 1 - 6,260.00,,5.0 (19),2 beds
Guesthouse in Dallas,Ravinia Bungalow,May 1 - 6,105.00,,4.96 (701),1 double bed
Home in Holden Beach,Egret ~ Beachfront Cottage (pet-Friendly),May 4 - 9,248.00,,4.93 (43),2 beds
Cottage in Rockaway Beach,Storybook Beach Cottage Twin Rocks,May 1 - 6,144.00,,4.88 (259),4 beds
Condo in Siesta Key,On the Beach; Siesta Key SunBum Studio,May 6 - 11,379.00,,4.96 (218),2 beds
Apartment in Laguna Beach,Laguna Beach Charming Unit- Location/Value,May 1 - 6,385.00,,4.96 (384),3 beds
Villa in Kissimmee,Windsor At Westside Avenger Newest PS5 Game room,May 11 - 16,209.00,,4.92 (12),13 beds
Home in Tucson,Central House w/ Pool & Hot Tub,May 1 - 6,142.00,,4.88 (140),2 beds
Apartment in Fort Lauderdale,Direct Ocean View from the Balcony,May 1 - 6,219.00,,4.83 (639),2 queen beds
Home in Terlingua,Terlingua Mining Ruin - Lofthouse,May 1 - 6,194.00,,4.97 (575),1 double bed
Apartment in New York,Designer Upper East side apartment Two entrances.,May 1 - 6,242.00,,4.99 (84),1 queen bed
Guesthouse in Naples,Waterfront Sea Cottage,May 1 - 6,82.00,,4.8 (276),1 queen bed
Bungalow in New Smyrna Beach,Relaxing Bungalow Steps from the Ocean,May 1 - 6,102.00,,4.86 (364),2 queen beds
Apartment in Kissimmee,Modern Great Villa near Disney & Parks,May 1 - 6,103.00,,4.87 (148),3 beds
Cottage in Kissimmee,Cozy Private Cottage 5 miles from Disney!,May 1 - 6,100.00,,4.92 (123),1 queen bed
Room in Brooklyn,"Private Studio+Bath+Balcony, 15 mins to Manhattan",May 1 - 6,144.00,,4.96 (269),1 sofa bed
Room in Los Angeles,Large Master Bedroom w Hollywood sign VIEWS,May 1 - 6,133.00,,4.9 (325),5 beds
Guest suite in Los Angeles,Echo Park Retreat with Views,May 1 - 6,116.00,,4.94 (580),4 double beds
Home in Huntington Beach,Beachfront Oasis,May 6 - 11,798.00,,4.99 (111),3 beds
Guesthouse in Colorado Springs,The Enchanted Cottage at Easy Manor,May 1 - 6,115.00,,4.96 (170),4 beds
Cabin in Hartsel,☀Sunrise Cabin☀ Balcony Mtn Views┃Grill┃Firepit,May 11 - 16,113.00,,4.98 (114),3 beds
Home in Phoenix,Cactus House - private home with pool in Phoenix,May 1 - 8,277.00,,4.99 (114),3 beds
Condo in Fort Walton Beach,"Beautiful Beachfront condo! 2 Bdrm, 2 Bath",May 1 - 6,300.00,,4.9 (104),1 bed
Room in Fairfield,"""Vacation-Sanctuary / Gateway to Napa """,May 1 - 6,114.00,,4.97 (887),1 king bed
Cabin in Kanab,Elevation Celebration,May 1 - 6,225.00,,4.97 (95),3 queen beds
Apartment in North Bay Village,Waterfront Studio Apartment with FREE Parking,May 1 - 6,160.00,,4.63 (16),2 beds
Home in Dana Point,Betty's Beach Bungalow-Pet Friendly! STR21-1232,May 1 - 6,171.00,,4.97 (478),2 beds
Home in Los Angeles,"Casual Colorful Venice House near Canals,Beach &Abbot Kinney",May 1 - 6,323.00,,4.95 (398),2 beds
Condo in Miami Beach,Beachfront Penthouse studio w/ pool on Miami Beach,May 1 - 8,181.00,,4.85 (139),2 beds
Dome in El Prado,Geodesic Earth Dome,May 1 - 6,91.00,161.00,4.9 (953),2 beds
Home in Kissimmee,7-bedroom vacation home near Disney with pool/spa,May 1 - 6,222.00,,4.83 (174),10 beds
Townhouse in Kissimmee,Beautiful 4BR Townhouse/Townhome close to Disney,May 1 - 7,132.00,,4.83 (109),5 beds
Condo in Saint Petersburg,Waterfront condo on top floor @ Boca Ciega Resort,May 1 - 6,143.00,,4.87 (360),2 beds
Townhouse in Destin,Scenic Gulf view! Steps to private beach entry!,May 1 - 6,305.00,,5.0 (41),3 beds
Condo in Fernandina Beach,"Amelia Island, 2 bedroom beach front condo",May 1 - 6,327.00,,4.92 (147),2 beds
Home in Smithville,"Fishing, Quiet & Wifi - 10 acres - Country Getaway",May 1 - 6,117.00,,4.98 (51),2 queen beds
Guesthouse in San Diego,Cozy guest studio with private deck,May 1 - 6,101.00,,4.9 (655),1 queen bed
Cottage in San Diego,Fabulous Cottage at the Beach,May 1 - 6,253.00,,4.94 (215),3 beds
Resort in Panama City Beach,Beautiful ocean front condo Panama City Beach,May 1 - 6,143.00,,4.78 (99),1 king bed
Guesthouse in Rolling Hills,"A view, a pool, and, private cabana sleeps five",May 1 - 6,165.00,,4.8 (260),4 beds
Home in Tampa,The T and C Club,May 1 - 6,247.00,,4.97 (90),6 beds
Condo in Cocoa Beach,Oceanfront Apartment - Cocoa Beach,May 1 - 6,176.00,,4.89 (53),2 beds
Apartment in Fort Lauderdale,Jr.Suite at Ocean Residences on the Beach,May 1 - 6,260.00,,4.9 (242),1 sofa bed
Cottage in San Diego,Charming Cottage at the Beach,May 11 - 16,253.00,,4.91 (550),3 beds
Condo in Fort Walton Beach,"PERFECT VIEW!! Waterfront, Marina, and 2 Pools!",May 4 - 9,99.00,,4.98 (125),2 queen beds
Condo in Las Vegas,Breath-taking Strip View on 33rd Flr Luxury Resort,May 1 - 6,118.00,,4.73 (318),2 beds
Apartment in Houston,Downtown Suite -Pool/Wi-Fi/ SkyView!,May 1 - 6,113.00,,4.84 (144),2 beds
Guest suite in Colorado Springs,Cañon Getaway- Cabin inspired home,May 1 - 6,112.00,,4.97 (460),2 beds
Home in Waxhaw,Fox Farms Little House,May 1 - 6,107.00,,4.97 (430),2 beds
Apartment in Miami,Retro 1BR Apt #3 | Steps from the Water + Parking!,May 1 - 6,106.00,,4.88 (136),2 beds
Townhouse in Washington,North Capitol Hill Luxury Townhome in Perfect Location,May 1 - 6,135.00,,4.81 (538),1 queen bed
Room in Naples,Sunset Suite @ The Vanderbilt | Boutique~BnB,May 1 - 6,224.00,,4.96 (117),2 beds
Apartment in Washington,#3 Foggy Bottom/Georgetown Apartment,May 7 - 12,209.00,,4.82 (473),1 queen bed
Condo in Tybee Island,Direct Waterfront.Keyless entry.Dolphin watch.,May 1 - 6,220.00,,4.97 (279),2 beds
Room in Galveston,Tropicana Suite-Grand Manor Luxury Mansion Loft,May 1 - 6,104.00,,4.86 (494),2 beds
Home in Netarts,Retro Retreat by the Bay,May 1 - 6,136.00,,4.9 (201),4 beds
Apartment in Miami Beach,Ocean Drive Beach Front Studio,May 1 - 6,153.00,,4.56 (418),3 beds
Home in Cape Coral,Coastal Cape Home w/Heated Pool-Sleeps 6,May 1 - 6,125.00,,4.85 (75),1 queen bed
Home in Sedona,Local Sedona Humble Home,May 1 - 6,236.00,,4.91 (107),3 beds
Home in Los Angeles,"Hollywood paradise studio in house,owned entrance",May 1 - 6,103.00,,4.89 (367),2 beds
Room in Miami,Luxe guest suite-perfect Staycation Pool & Parking,May 1 - 6,101.00,,4.91 (651),4 beds
Home in The Sea Ranch,Casa Del Mar Spectacular Ocean Views!,May 1 - 6,434.00,,4.97 (148),3 beds
Apartment in Brooklyn,Cozy Garden Apartment,May 1 - 6,117.00,,4.93 (287),3 beds
Cottage in Eastham,Classic Cape Cod Cottage,May 1 - 6,143.00,,4.92 (172),3 beds
Home in Las Vegas,Modern 3 bds house with pool in Las Vegas,May 1 - 7,313.00,,5.0 (10),3 beds
Home in Gulfport,Gecko House Unit #1,May 1 - 6,88.00,,4.88 (113),1 king bed
Apartment in Sunny Isles Beach,LOVELY OCEAN VIEW 1BD/1.5TH APT HIGH FLOOR|PARKING,May 4 - 9,148.00,,4.85 (47),2 beds
Room in New York,spacious chelsea room,May 1 - 6,106.00,,4.9 (127),3 beds
Guest suite in Naples,Tropical Garden Studio Cottage (2 miles to beach),May 1 - 6,119.00,,4.97 (231),1 queen bed
Guesthouse in Portland,Cozy Portland Studio Apartment,May 1 - 6,104.00,,4.98 (745),2 beds
Apartment in Pompano Beach,Direct beautiful beach and ocean view,May 1 - 6,173.00,,4.93 (124),3 beds
Condo in Hollywood,Beach paradise. Just minutes to restaurants shops.,May 1 - 6,320.00,,4.89 (54),4 beds
Home in Palm Coast,Spacious Heated Pool home with pool/pingpong table,May 1 - 6,212.00,,4.93 (138),2 beds
Guesthouse in Rockaway Beach,The Strand Oceanview Studio - Dog Friendly!,May 1 - 6,121.00,,4.85 (392),6 beds
Home in Lehigh Acres,Enjoy the most beautiful sunsets by the *pool,May 1 - 6,113.00,,4.93 (42),1 queen bed
Apartment in Carmel-by-the-Sea,Private romantic 1 br in Carmel Woods- love dogs,May 1 - 6,149.00,,4.86 (743),2 beds
Condo in Sunny Isles Beach,SUNNY ISLES GORGEOUS Apart 2210!! (+hotel fees),May 1 - 6,191.00,,4.91 (130),3 beds
Cabin in Point Reyes Station,Point Reyes Unique Creekside Home with Hot Tub,May 1 - 6,271.00,,4.89 (601),2 beds
Cottage in Mount Pleasant,Perfect Cottage with Amazing Creek & Harbor Views & Location,May 1 - 6,321.00,,4.99 (298),7 beds
Home in Treasure Island,Eiko Beach House 4BR/3BA Heatd Pool*Hot Tub* Pets,May 8 - 15,722.00,,4.79 (108),2 beds
Condo in Siesta Key,New: Cozy 1BR Beach Condo on Siesta Key!!!,May 1 - 6,157.00,,4.82 (148),5 beds
Condo in Anaheim,Across the street from Disney/Pool/Free Parking,May 1 - 6,342.00,,4.99 (76),3 beds
Condo in Sunny Isles Beach,BEAUTIFULL CONDO IN THE HEART OF SUNNY ISLES.,May 1 - 6,151.00,,4.57 (225),3 beds
Condo in Sunny Isles Beach,BEAUTIFULL CONDO IN THE HEART OF SUNNY ISLES.,May 1 - 6,151.00,159.00,4.57 (225),3 beds
Condo in Pompano Beach,Spacious Studio - 1 minute walk to the beach!,May 1 - 6,115.00,,5.0 (23),1 bed
Loft in Brooklyn,Authentic Luxury Designed Loft,May 1 - 6,178.00,,4.88 (253),3 beds
Home in Los Angeles,Hollywood Sunset Strip Private Executive Hideaway,May 13 - 18,272.00,,5.0 (99),2 king beds
Condo in Las Vegas,Location Location Location 1 bdrm 0.5 mi of Strip,May 1 - 6,124.00,,4.7 (242),2 beds
Apartment in Las Vegas,Trump Tower High Floor Strip View,May 1 - 6,181.00,,4.87 (464),2 beds
Condo in Cocoa Beach,"Dolphin Bay, Apartment 202",May 1 - 6,140.00,,4.84 (285),2 beds
Home in St. Augustine,"Oceanfront, rustic cottage",May 1 - 6,339.00,,4.88 (465),1 bed
Condo in Pensacola Beach,Enjoy Sunsets at Fully Equipped 2BR Condo on Beach,May 1 - 6,215.00,,4.93 (14),3 beds
Condo in Long Beach,Oceanfront Belmont Shore Coastal Luxe,May 1 - 6,174.00,,4.98 (125),2 beds
Condo in Treasure Island,Spectacular beach to bay views from this resort.,May 1 - 6,218.00,,4.67 (148),1 bed
Condo in Longboat Key,Directly on Longboat Key Beach - Kid Friendly/SRQ1,May 1 - 6,196.00,,4.89 (415),2 beds
Guest suite in Lake Worth,The Garden Suite at the Historic Chateau Bleu,May 1 - 6,141.00,,4.85 (82),1 king bed
Room in Kissimmee,Private Room in Orlando/Kissimmee (2Twins) T1,May 1 - 6,43.00,,4.9 (300),1 king bed
Guesthouse in San Antonio,Casa Alexander,May 1 - 6,73.00,,4.92 (282),5 beds
Apartment in Englewood,BEACH FRONT Unit w/ Pool Sandy Toe's # 5,May 7 - 12,233.00,,4.96 (318),4 beds
Room in Long Beach,Across the Street from Beach Getaway/Near Convention Center,May 1 - 6,106.00,,4.85 (97),4 beds
